view_detail,ID_number,Federal_Fiscal_Year,GPRA_project_name,HabRes_Project_name,TBEP Notes,KFW checked,
5558,R-091,2006,Felts-Audubon Restoration Project,Felts Preserve-Audubon Restoration Project,,,
443,R-092,2006,Kapok Wetland and Floodplain Restoration Project,Kapok Restoration Project,,,
393,E-093,2006,Terra Ceia Uplands Phase 3,Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 3,,,
1677,LS-042,2007,MacDill AFB Shoreline Stabilization Project - Phase IV,MacDill Air Force Base Oyster Dome: Phase 2,Both involve oyster domes on the shoreline of MacDill AFB and are managed by Tampa Bay Watch.,OK,
2217,R-106,2010,Wolfbranch Creek Nature Preserve Ephemeral Pond Creation,Wolf Branch Creek Nature Preserve Ephemeral Pond Creation,,,
4744,E-215,2015,Allenâ€™s Creek Management Area Exotic Vegetation Control,AllenÃ¢â‚¬â„¢s Creek Management Area Exotic Vegetation Control,,,
4935,E-224,2015,Brooker Creek Preserve Prescribed Burn â€“ Unit: Whispering Lakes West,Brooker Creek Preserve Prescribed Burn Ã¢â‚¬â€œ Unit: Whispering Lakes West,,,
4934,E-221,2015,Brooker Creek Preserve Prescribed Burn â€“ Unit: Northeast,Brooker Creek Preserve Prescribed Burn Ã¢â‚¬â€œ Unit: Northeast,,,
4933,E-223,2015,Brooker Creek Preserve Prescribed Burn â€“ Unit: Twisted Pine Trail,Brooker Creek Preserve Prescribed Burn Ã¢â‚¬â€œ Unit: Twisted Pine Trail,,,
4932,E-222,2015,Brooker Creek Preserve Prescribed Burn â€“ Unit: Red Trail,Brooker Creek Preserve Prescribed Burn Ã¢â‚¬â€œ Unit: Red Trail,,,
11798,R-131,2016,MacDill AFB â€“ Mangrove Restoration Expansion Project,MacDill AFB Ã¢â‚¬â€œ Mangrove Restoration Expansion Project,,,
11706,LS-075,2016,Oyster Reef Shoreline Stabilization Phase V,MacDill Air Force Base Oyster Reef: Phase 5,"While they don't have the same lead imlementer or the same number of acres, these projects are both phase 5 of oyster reefs and are at MacDill Air Force.",OK - same description,different lat/long
18655,E-253,2017,Allenâ€™s Creek Mgmt Area Exotic Veg. Control,AllenÃ¢â‚¬â„¢s Creek Management Area Exotic Vegetation Control,,,
18950,E-281,2018,Invasive Plant and Litter Removal at McKay Bay Nature Park,McKay Invasive Plant and Litter Removal at McKay Bay Nature Park,Both have the same acres and very similar project names but have different lead implements (City of Tampa and Keep Tampa Bay Beautiful).,OK,
19114,E-275,2018,Blackwater Creek Preserve,Blackwater Creek Preseve,,,
19752,R-138,2019,MacDill Air Force Base Wetland Plant Restoration,MacDill AFB Wetland Plant Restoration,"Everything is the same except the acres are a tiny bit different, not by much.",OK - same description,
19766,R-139,2019,Waterfront Park Living Shoreline and Spring Feature,Waterfront Park Spring Feature,,,
19763,E-317,2019,MacDill AFB Saltern Restoration,MacDill Air Force Base Saltern Restoration,,,
20024,E-303,2019,Give-A-Day for the Bay: Clam Bayou,Give a Day for the Bay: Clam Bayou,,,
20008,E-302,2019,Invasive Plant Removal - Gandy Boat Ramp,Gandy Boat Ramp Invasive Plant Removal,,,
19760,E-293,2019,Mangrove planting,Courtney Campbell Mangrove Planting,,,
19629,E-300,2019,Fred & Idah Shultz Preserve,Fred and Idah Shultz Nature Preserve,,,
20005,E-309,2019,Invasive Plant Removal - Picnic Island,Picnic Island Invasive Plant Removal,,,
20010,E-322,2019,Mangrove planting - Picnic Island,Picnic Island Mangrove Planting,,,
20009,E-290,2019,Invasive Plant Removal - Alafia River State Park,Alafia River State Park Invasive Plant Removal,,,
19656,E-313,2019,Town N Country Preserve,Town and Country Preserve,,,
19601,E-298,2019,Education Center Loop South,Ed Center Loop South,,,
19708,E-319,2019,Prescribed Burning - Units 4-8/4-9 and EOD (3 burns),MacDill Prescribed Burning - Units 4-8/4-9 and EOD (3 burns),Both are match except for the fact that they have different lead implementers.,OK,
19710,E-318,2019,Chemical Invasive Control measures used to control invasive plant species.,MacDill Chemical Invasive Control,,,
19709,E-308,2019,Chemical Invasive Control,MacDill Chemical Invasive Control,,,
19667,E-292,2019,"Coastal Preserves Invasive Plant Maintenance (Emerson, Robinson, Perico, Ungarelli, Neal)","Coastal Preserves Invasive Plant Maintenance (Emerson, Robinson, Perico, Ungarelli , Neal",,,
19655,E-306,2019,Little Manatee River Corridor Preserve,Little Manatee River Corridor Preserve Disking,,,
19654,E-307,2019,Little Manatee River Corridor Preserve Invasive Control,Little Manatee River Corridor Preserve Invasive Removal,,,
19733,E-321,2019,McKay Bay South Oyster Reef Creation Project,McKay Bay South Oyster Reef Creation,,,
20006,E-312,2019,Invasive Plant Removal,Tampa Invasive Plant Removal,I'm inclined to think these match up even though Tampa isn't in the project name of the first one because they have the same lead implementer.,OK - same description,
20315,R-141,2020,Cockroach Bay Planting (Give-A-Day),Cockroach Bay Planting,,,
20240,LS-088,2020,MacDill Air Force Base Native Planting Arbor Day,MacDill Native Planting Arbor Day,,,
20289,R-145,2020,Little Manatee River Submerged Aquatic Vegetation Restoration Project,Little Manatee River SAV Restoration Project (PRF 15-06),,,
20314,R-150,2020,Winston Tract at Robinson Preserve,Winston Tract Replanting,,,
20359,E-339,2020,Crescent Lake Sustainability Council Project,Crescent Lake Sustainability Council,,,
20239,E-356,2020,MacDill Air Force Base prescribed burn,MacDill Prescribed Burn,,,
20287,E-364,2020,Sun City Center Nature Trail Invasives Control,Sun City Center Nature Trail (PRF 16-02),,,
20269,E-365,2020,TECO/Rock Ponds Invasive Plant Control,TECO/Rock Ponds FY20 Invasive Plant Control,,,
20281,E-351,2020,Little Manatee River Nature Preserve (c),Little Manatee River Nature Preserve,,,
20242,E-353,2020,Aquatic Invasive Species Treatment - Chemical,MacDill Aquatic Invasive Species Treatment - Chemical,,,
20296,E-331,2020,"Brooker Creek Preserve (""Mount Brooker"") Exotics Control",Brooker Creek Preserve Mt Brooker Exotics,,,
20241,E-354,2020,MacDill Air Force Base Invasive Species Treatment - Mechanical,MacDill Invasive Species Treatment - Mechanical,,,
20280,E-350,2020,Little Manatee River Nature Preserve (a),Little Manatee River Nature Preserve,,,
20288,E-327,2020,Bahia Beach Invasive Species Management,Bahia Beach Invasive Species Management (PRF 16-03),,,
20278,E-349,2020,Little Manatee River Nature Preserve (b),Little Manatee River Nature Preserve,,,
20267,E-367,2020,Upper Hillsborough Preserve Habitat Improvement,Upper Hillsborough Turkey Habitat Improvement,,,
20265,E-338,2020,Coker Watershed Activities,Coker FY20 Invasive Plant Control,These match even though invasive plant control is only mentioned in one because they have the same amount of acres and are both implemented by Southwest Water Management District,OK,
20293,E-343,2020,Ft. DeSoto Park Exotic Vegetation Maintenance,Ft. De Soto Park Exotic Control,,,
20266,E-362,2020,Southfork Invasive Plant Control,Southfork FY20 Invasive Plant Control,,,
20271,E-352,2020,Lower Hillsborough Watershed Land Activities,Lower Hillsborough Watershed Activities,,,
20270,E-368,2020,Upper Hillsborough Land Activities,Upper Hillsborough Watershed Activities,,,
20264,E-344,2020,Gilley Watershed Land Activities,Gilley Watershed Activities,,,
20290,LS-085,2020,Alafia Bird Sanctuary Oysterbar Habitat Creation Phase 2,Alafia Bird Sanctuary Oyster Bar Phase 2,,,
20361,R-149,2020,Vertical Oyster Gardening in Gulfport,Vertical Oyster Gardening,,,
20313,E-347,2020,Kenneth City (Give-A-Day),Kenneth City,,,
20285,LS-084,2020,McKay Bay South Oyster Reef Community Construction Project,McKay Bay South Oyster Reef Community Construction Project (PRF 15-05),,,
20309,E-361,2020,Salt Creek (Give-A-Day),Salt Creek,,,
21089,SEP-005,2021,MacDill Air Force Base Phase VI,MacDill AFB Phase VI,,,
21086,R-165,2021,Cell 5 Boardwalk Planting,Se7en Wetlands Cell 5 Boardwalk Planting,,,
21145,E-406,2021,MacDill Air Force Base Native Planting Arbor Day,MacDill AFB Native Planting Arbor Day,,,
21431,E-372,2021,Invasive Removal at McKay Bay Nature Park,McKay Bay Nature Park Invasive Removal,,,
21140,R-156,2021,Eagle Lake Water Quality Improvements,Eagle Lake Water Quality Improvements (002650A),,,
21109,R-159,2021,Lake Manatee SP Longleaf Ecosystem Reclamation,Lake Manatee State Park Longleaf Ecosystem Reclamation,"While these projects have different acres and one is funded by the National Fish & Wildlife Foundation while the other isn't, they have the same lead implementer and practically the same project name.",Same project amount - OK,
21141,E-376,2021,Ed Center Loop North burn unit,Brooker Creek Education Center Loop North Burn,,,
21325,R-157,2021,Hidden Harbor Restoration Out plantings,Hidden Harbor Restoration Outplantings,,,
21118,R-158,2021,Hillsborough River SP Longleaf Ecosystem Reclamation,Hillsborough River State Park Longleaf Ecosystem Reclamation,,,
21144,E-407,2021,MacDill Air Force Base controlled burn,MacDill AFB Prescribed Burn,,,
21097,E-417,2021,Upper Hillsborough National Wild Turkey Foundation Mulching,Upper Hillsborough NWTF Mulching,,,
21343,R-160,2021,Lower Green Swamp Preserve Hydrologic Restoration,Lower Green Swamp Preserve Hydrologic Restoration - Swamp,"I am not sure if one or both projects with ID numbers R-160 and R-161 match with the other project because they all have different acres and one is being reestablished. Use R-160 to match, has project cost and lat/long included in hab res database, delete R-161.",OK,
21326,R-163,2021,Robinson Preserve Expansion Phase IIB Fish Passage,Robinson Preserve Expansion Phase IIB Fish Passage and Plantings,,,
21098,E-416,2021,Upper Hillsborough Land Acquisition Trust Fund Mulching,Upper Hillsborough LATF Mulching,,,
21110,E-402,2021,Little Manatee River SP Longleaf Ecosystem Enhancement,Little Manatee River State Park Longleaf Ecosystem Enhancement,,,
21153,E-395,2021,Give-A-Day at Robinson Preserve,Give-A-Day- Robinson Preserve,,,
21131,E-397,2021,Canterbury Restoration Impact Academy Butterfly Restoration,Impact Academy Butterfly Restoration,,,
21085,SEP-006,2021,Ulele Springs  - Basin Deepening/Retaining Wall,Ulele Springs Estuarine Basin Bank Stablization Project,,,
21150,E-382,2021,Coffeepot Bayou Watershed Alliance Invasive Removal,Coffeepot Bayou Watershed Alliance Invasive Removal and Water Quality Monitoring In Smacks Bayou,,,
21151,E-392,2021,Give-A-Day for the Bay at 4th Street Fishing Pier,Give-A-Day- 4th Street,,,
21152,E-412,2021,SHINE Cleanup at Lassing Park,SHINE Cleanup,,,
21158,E-393,2021,Give-A-Day at Cockroach Bay,Give-A-Day- Cockroach Bay,,,
21155,E-396,2021,Wood you Give-A-Day for the Bay?,Give-A-Day-Wood You,,,
4744,E-215,2015,Allen’s Creek Management Area Exotic Vegetation Control,Allenâ€™s Creek Management Area Exotic Vegetation Control,,,
4935,E-224,2015,Brooker Creek Preserve Prescribed Burn – Unit: Whispering Lakes West,Brooker Creek Preserve Prescribed Burn â€“ Unit: Whispering Lakes West,,,
4934,E-221,2015,Brooker Creek Preserve Prescribed Burn – Unit: Northeast,Brooker Creek Preserve Prescribed Burn â€“ Unit: Northeast,,,
4933,E-223,2015,Brooker Creek Preserve Prescribed Burn – Unit: Twisted Pine Trail,Brooker Creek Preserve Prescribed Burn â€“ Unit: Twisted Pine Trail,,,
4932,E-222,2015,Brooker Creek Preserve Prescribed Burn – Unit: Red Trail,Brooker Creek Preserve Prescribed Burn â€“ Unit: Red Trail,,,
11798,R-131,2016,MacDill AFB – Mangrove Restoration Expansion Project,MacDill AFB â€“ Mangrove Restoration Expansion Project,,,
11707,E-245,2016,Invasive Species Control,Invasive Species Control (MacDill AFB),,,
18655,E-253,2017,Allen’s Creek Mgmt Area Exotic Veg. Control,Allenâ€™s Creek Mgmt Area Exotic Veg. Control,,,
19756,E-320,2019,Rock Ponds Ecosystem Restoration Project Wetland Plant Restoration,Rock Ponds Ecosystem restoration Project Wetland Plant Restoration,,,
19569,LS-082,2019,MacDill AFB Living Shoreline (Phase VI),MacDill AFB Living Shoreline Creation Project,"entered in GPRA as 2019, 2018 in Habitat Restoration database",,
